Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",5,Penguin Books,Kindle Edition,382,2020,2020,2025/02/18,2025/02/12,,,read,,,,1,0
22076,From a Buick 8,Stephen  King,"King, Stephen",,"=""0743211375""","=""9780743211376""",5,Scribner,Hardcover,356,2002,2002,2025/02/03,2021/04/26,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen  King,"King, Stephen",,"=""0450040186""","=""9780450040184""",5,New English Library,Mass Market Paperback,497,1980,1977,2025/01/25,2025/01/09,tbr-2025,tbr-2025 (#1),read,,,,1,0
11093329,"The House of Silk (Horowitz's Holmes, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""0316196991""","=""9780316196994""",5,Mulholland Books,Hardcover,294,2011,2011,2025/01/11,2025/01/09,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",0,Riverhead Books,Paperback,371,2004,2003,,2024/10/08,"to-read, tbr-2025","to-read (#2), tbr-2025 (#5)",to-read,,,,0,0
33151805,Into the Water,Paula Hawkins,"Hawkins, Paula",,"=""0735211205""","=""9780735211209""",0,Riverhead Books,Hardcover,386,2017,2017,,2025/01/09,"tbr-2025, to-read","tbr-2025 (#4), to-read (#21)",to-read,,,,0,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,G.P. Putnam’s Sons,ebook,384,2018,2018,,2025/01/01,"to-read, tbr-2025","to-read (#19), tbr-2025 (#3)",to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,"Little, Brown and Company",Hardcover,393,2018,2018,,2025/01/01,"to-read, tbr-2025","to-read (#20), tbr-2025 (#2)",to-read,,,,0,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",3,Riverhead Books,Hardcover,336,2015,2015,2024/10/11,2024/10/04,,,read,,,,1,0
10614,Misery,Stephen  King,"King, Stephen",,"=""0450417395""","=""9780450417399""",5,New English Library,Paperback,370,1992,1987,2025/01/04,2024/12/25,,,read,,,,1,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,St. Martin's Press,Hardcover,564,2015,2015,,2025/01/01,to-read,to-read (#18),to-read,,,,0,0
13624688,The Time Keeper,Mitch Albom,"Albom, Mitch",,"=""1401322786""","=""9781401322786""",5,Hyperion,Hardcover,224,2012,2012,2024/12/28,2024/12/22,,,read,,,,1,0
24612533,The Dead Girls of Hysteria Hall,Katie Alender,"Alender, Katie",,"=""0545639999""","=""9780545639996""",5,Point,Hardcover,329,2015,2015,,2024/11/09,,,read,,,,1,0
11590,’Salem’s Lot,Stephen  King,"King, Stephen",,"=""0450031063""","=""9780450031069""",5,New English Library,Paperback,483,1991,1975,,2024/12/07,,,read,,,,3,0
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",5,HarperTorch,Mass Market Paperback,394,2005,2004,2024/12/07,2024/10/29,,,read,,,,1,0
11387515,"Wonder (Wonder, #1)",R.J. Palacio,"Palacio, R.J.",,"=""0375869026""","=""9780375869020""",5,Alfred A. Knopf,Hardcover,315,2012,2012,,2024/10/08,,,read,,,,1,0
286957,The Yellow Wall-Paper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Elaine R. Hedges,"=""1558611584""","=""9781558611580""",0,The Feminist Press at CUNY,Paperback,62,1996,1892,,2024/10/19,to-read,to-read (#17),to-read,,,,0,0
45685,The Canterville Ghost,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",5,Walker Books,Hardcover,126,1997,1887,,2024/10/17,,,read,,,,1,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""0297851535""","=""9780297851530""",5,Broadway Paperbacks,Paperback,254,2007,2006,2024/10/17,2024/10/08,,,read,,,,1,0
33220021,गोदान [Godan],Munshi Premchand,"Premchand, Munshi",,"=""""","=""""",5,Public Domain Books,Kindle Edition,456,,1936,,2024/10/14,,,read,,,,1,0
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,"=""159463176X""","=""9781594631764""",0,Riverhead Books,Hardcover,404,2013,2012,,2024/10/11,to-read,to-read (#16),to-read,,,,0,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",0,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,2024/10/08,to-read,to-read (#15),to-read,,,,0,0
2213661,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0060530928""","=""9780060530921""",0,HarperCollins,Hardcover,312,2008,2008,,2024/10/08,to-read,to-read (#14),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,Scribner,Hardcover,531,2014,2014,,2024/10/08,to-read,to-read (#13),to-read,,,,0,0
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Constance Garnett, Joseph Frank, Anna Brailovsky","=""0679642420""","=""9780679642428""",0,Modern Library,Paperback,667,2003,1869,,2024/10/08,to-read,to-read (#12),to-read,,,,0,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",0,Ballantine Books,Paperback,415,2014,2012,,2024/10/08,to-read,to-read (#11),to-read,,,,0,0
375013,Schindler’s List,Thomas Keneally,"Keneally, Thomas",,"=""0340606517""","=""9780340606513""",0,Sceptre,Mass Market Paperback,429,1994,1982,,2024/10/08,to-read,to-read (#10),to-read,,,,0,0
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"Harris, Thomas",,"=""""","=""""",0,Arrow Books,Paperback,421,2002,1988,,2024/10/08,to-read,to-read (#9),to-read,,,,0,0
6656,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Sandro Botticelli, Peter Armour, Eugenio Montale","=""0679433139""","=""9780679433132""",0,Everyman's Library,Hardcover,798,1995,1320,,2024/10/08,to-read,to-read (#8),to-read,,,,0,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",0,Hyperion,Hardcover,196,2003,2003,,2024/10/08,to-read,to-read (#7),to-read,,,,0,0
30165203,"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,William Morrow,Kindle Edition,635,2011,2001,,2024/10/08,to-read,to-read (#6),to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",0,Warner,Paperback,210,2000,1997,,2024/10/08,to-read,to-read (#5),to-read,,,,0,0
23919,The Complete Stories and Poems,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0385074077""","=""9780385074070""",0,"Doubleday & Company, Inc.",Hardcover,821,1984,1849,,2024/10/08,to-read,to-read (#4),to-read,,,,0,0
2654,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,323,2005,1960,,2024/10/08,to-read,to-read (#3),to-read,,,,0,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""""","=""""",0,Anchor,Paperback,489,2006,2003,,2024/10/08,to-read,to-read (#1),to-read,,,,0,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",2,Speak,Paperback,221,2006,2005,,2021/04/20,,,read,,,,1,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",5,Riverhead Books,Hardcover,372,2007,2007,,2024/10/04,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",5,Penguin Classics,Paperback,244,2006,1876,,2021/04/20,,,read,,,,1,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",5,HarperCollins,Paperback,274,2007,1934,,2021/04/20,,,read,,,,1,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",5,Harper,Hardcover,272,2018,2018,,2021/04/20,,,read,,,,1,0
1430,Eleven Minutes,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""""","=""""",5,HarperOne,Paperback,273,2003,2003,,2021/04/20,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751079""","=""9780385751070""",5,David Fickling Books,Hardcover,224,2006,2006,,2021/04/20,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",3,HarperOne,Paperback,182,2014,1988,,2021/04/20,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,Dutton Books,Hardcover,313,2012,2012,,2021/04/20,,,read,,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","David J. Skal, Nina Auerbach, Rubén Toledo","=""0393970124""","=""9780393970128""",5,Norton,Paperback,488,1986,1897,,2021/04/20,,,read,,,,1,0
